Gene,MET_H_C1,MET_H_C2,MET_H_C3,MET_H_C4,MET_H_C5,MET_L_C1,MET_L_C2,MET_L_C3,MET_L_C4,MET_L_C5
Mir6925,0,0,0,0,0,0,0,0,0,1
Ninj1,992,478,693,321,965,286,456,581,1823,637
Dus2,85,240,127,84,176,112,137,115,211,143
Gtf2h1,1031,1754,1412,745,1653,891,1193,814,1803,936
Tmprss11g,0,13710,391,80,88,101,345,1006,1294,41
Slitrk2,50,0,0,0,0,9,12,15,24,28
Hscb,74,78,101,35,177,105,134,110,228,118
Tnfrsf13c,0,0,0,0,0,0,1,0,9,13
Zfp827,822,599,1540,1117,1680,1225,1900,1043,1586,1437
Fgf23,111,0,28,0,0,0,32,110,175,116
Tm4sf4,0,0,0,0,0,3,12,1,1,1
Mtfr2,76,57,57,14,59,19,67,38,135,61
Chrac1,262,290,381,183,407,208,424,181,510,267
Pum1,3359,5000,5155,2935,5377,3430,4892,2750,5553,3131
Rhbdd2,362,503,351,230,505,317,445,472,570,434
Ccdc25,705,997,1442,688,2122,741,1369,610,1389,549
Tmem104,630,329,583,239,731,256,430,408,715,405
St6gal2,0,0,0,0,0,2,1,11,4,14
D930016D06Rik,360,420,280,270,397,305,367,223,438,389
Fam155a,284,0,0,0,0,6,4,22,15,20
Elovl2,0,0,0,0,0,8,16,1,96,12
Api5,3479,3144,4390,2237,4978,2283,3943,2047,4554,2216
Gpr182,14,0,0,0,0,4,9,16,49,30
1700029N11Rik,0,0,0,0,0,0,0,0,0,0
Gbas,812,832,873,480,1287,571,922,573,1656,732
Gxylt2,225,76,92,133,265,249,216,202,428,231
9330133O14Rik,153,232,250,153,365,266,421,119,249,207
Nsun7,0,0,0,0,0,7,6,12,18,27
S100a7a,0,772,0,0,0,5,4,94,18,14
Rprd1a,442,491,631,335,779,456,599,300,792,389
Slc5a3,2986,1276,9340,4751,9216,5936,6568,2482,9317,3101
Ism1,122,0,55,0,42,31,40,79,96,54
Fam132b,0,88,76,5,87,25,80,54,46,57
Lsm11,335,429,314,170,343,273,272,231,452,302
Scfd1,1411,1420,1480,829,1964,950,1471,680,1690,951
9630028B13Rik,0,0,0,0,0,0,0,0,0,0
Rnd2,16,0,0,0,8,25,48,30,177,47
Klhl26,783,362,857,473,1036,661,821,623,896,628
Ppp2r2c,0,0,0,0,0,9,57,109,53,234
Rspry1,1434,889,1160,679,1553,837,1166,840,1576,827
Fam111a,1530,3176,1240,638,1924,217,844,454,1431,1082
Fgd3,210,953,836,421,1178,1238,1012,1089,888,734
Polr3b,674,1496,1385,824,1681,1015,1358,746,1653,865
Shkbp1,395,693,779,448,948,520,836,558,686,470
Plgrkt,300,652,232,202,536,193,272,225,487,377
B630005N14Rik,533,1159,685,422,949,413,647,487,1137,516
Tcl1b3,0,0,0,0,0,0,0,0,9,0
Mad2l1,573,756,623,302,841,97,409,298,757,389
Zfp644,2142,2134,2404,1586,2837,1704,2448,1776,4008,2134
Ldha,12470,41387,22702,9486,24617,9553,17477,7619,20264,8314
Arid4a,1315,1879,1649,888,2362,1039,1319,1151,2216,1202
Nars,9041,8005,4537,2160,5706,2376,4071,1954,4382,2143
Rfc3,421,385,421,214,529,208,492,232,578,289
Macrod2,0,34,0,0,11,13,33,31,77,56
Mir681,0,0,0,0,0,1,1,0,1,20
B3galt1,41,0,66,8,0,30,30,49,75,82
Dopey2,1189,2244,1941,1311,2431,1700,2464,1491,2200,1711
Slbp,1045,807,990,530,1172,457,828,574,1312,648
1700019B21Rik,0,0,0,0,0,0,0,1,0,0
Amhr2,0,3,0,0,0,5,2,9,1645,157
Rab7b,436,397,668,251,621,191,404,244,741,347
Mir7093,0,0,0,0,0,0,0,0,0,0
Zkscan6,389,727,363,283,559,357,435,253,524,285
Akt3,1458,529,1282,817,1193,505,1001,906,2301,1329
Gm10619,0,0,0,0,0,0,0,0,0,0
Fxyd4,0,0,40,30,308,56,269,33,152,337
Melk,452,592,949,485,1297,372,900,356,771,352
Fgf22,0,0,0,0,0,0,0,0,0,0
Prss2,0,0,0,2036,1579,1,29,1,6,3
Akr1a1,8482,5680,11369,5019,14030,5663,10591,5469,13317,5297
Mis12,828,829,1053,490,1119,462,767,472,1181,480
Myo5b,963,11014,3968,2427,5443,3265,4657,2682,3396,1435
Fam149b,518,444,544,336,710,382,554,398,744,500
Smc2,2042,2140,2187,1216,2464,442,1534,972,2559,1211
Slc20a2,1056,1296,1077,723,1329,710,1195,821,1232,773
Serp2,0,0,0,0,0,17,16,14,19,15
Ccr7,95,0,0,0,64,29,39,27,88,13
Aasdhppt,646,621,562,286,664,380,634,392,776,502
Spire1,1202,1664,664,335,658,265,415,541,1128,456
Rpn2,12567,5703,10691,4846,12517,4749,9183,3955,11820,4331
Smad3,1422,1400,3300,2556,4619,2882,3803,2125,3888,1713
Gipc3,0,0,0,0,0,5,15,16,16,14
H1f0,3205,2764,2855,2305,4728,1251,3060,1221,3531,1990
Grb14,7,0,97,49,326,105,139,114,3828,483
Wdr86,0,0,0,0,0,17,21,30,108,47
Rwdd3,0,0,2,0,27,34,59,49,93,105
Iqcg,0,0,0,0,0,16,35,14,104,124
Snora31,0,17,0,0,0,23,32,33,28,31
Serpina3h,357,568,623,439,411,118,538,605,955,208
Ednrb,2822,253,943,368,723,349,461,791,2790,425
Tmem218,92,0,49,21,125,53,104,71,216,108
Tnfaip3,643,882,712,573,1399,1141,1411,806,743,2663
Six1,38,0,253,1,0,27,64,557,82,50
Tbr1,0,0,0,0,0,0,1,2,1,7
Snrpg,343,633,507,217,666,203,476,185,671,248
Sp100,622,175,2062,1091,3010,1467,2125,801,1953,1109
Naip6,0,0,188,183,304,176,121,84,162,85
1700010K23Rik,0,0,0,0,0,0,0,0,0,0
Trim60,0,0,0,0,0,8,3,0,54,8
Olfr1322,0,0,0,0,0,0,0,0,0,0
Camk2n2,28,0,16,0,35,36,56,40,42,35
Slc17a6,0,50,0,0,0,0,0,0,0,2
Hnrnpm,4586,5765,5898,3027,7761,2590,4584,2820,6251,3338
Dnajc13,5973,4142,4912,2790,5604,2934,4327,2993,5650,3580
Gm4224,0,0,0,0,0,0,0,0,0,0
Mcm10,503,486,664,305,736,95,521,252,566,409
1110002L01Rik,65,244,165,82,191,154,159,165,249,152
Il33,727,4043,7015,4219,9432,883,4990,4423,4946,1839
9230105E05Rik,0,0,0,0,0,12,18,13,4,6
Mapk8,1092,688,582,518,865,499,699,564,975,689
Mir7048,0,0,0,0,0,0,0,0,2,1
Mir6912,0,0,0,0,0,2,2,2,2,9
Mir93,0,0,0,0,0,3,5,1,1,0
Zfp606,208,215,369,341,493,386,541,306,871,530
Agpat2,2010,690,1007,396,1341,469,891,377,842,394
4930425O10Rik,0,0,0,0,0,0,0,0,0,2
Sf3b3,5991,5136,6981,3680,7362,3758,6361,3394,6826,3828
4930447C04Rik,0,0,0,0,0,0,1,2,1,3
Dmap1,365,315,402,223,556,287,490,215,628,346
Bcl11b,0,2443,2,0,100,20,27,152,155,60
Prr23a2,0,0,0,0,0,0,0,0,0,1
Ank,1540,2665,4623,2207,4891,2772,4045,1342,3183,1390
Ywhae,6861,7976,7817,4212,10087,3797,7177,4000,8572,3686
Dalrd3,463,799,1055,921,1655,954,1349,651,1122,809
Tmem11,616,616,669,289,786,336,537,323,711,355
Tnfrsf1a,5571,4617,2960,1630,3203,1168,2135,1927,3522,2096
Lipi,0,0,0,0,0,0,0,0,0,0
Med25,824,1824,1715,882,2520,1203,1852,977,1895,1107
Mir140,0,0,0,0,0,3,1,4,1,0
4930432M17Rik,0,0,0,0,0,0,0,0,0,0
Col4a4,0,0,93,8,0,42,81,73,953,236
Adamts20,0,1,45,64,98,19,60,91,66,109
Carlr,0,0,0,0,0,0,1,0,0,0
Kcnmb1,0,0,38,89,0,118,187,176,114,263
Mitd1,289,303,799,417,1054,552,808,294,726,374
Pdzd9,0,0,0,0,0,2,2,1,1,0
Rapgef3,528,1035,276,272,500,222,299,360,531,405
Zfp507,793,1159,1285,719,1532,945,1311,922,1646,974
Larp7,938,544,1035,479,1080,345,725,383,1025,447
Kcnq3,0,0,0,0,0,7,6,8,11,6
Ptpn22,98,38,259,341,341,178,753,292,315,323
4933412E12Rik,5,0,54,0,65,72,91,37,108,63
Sh2d5,276,3352,211,186,141,153,195,102,134,109
Mrpl48,221,255,367,188,493,191,314,271,469,212
Nxnl1,0,0,0,0,0,0,0,5,11,4
Gng5,849,1128,2042,884,2119,1068,1597,657,1733,752
Fibin,51,401,205,77,379,62,138,101,270,120
Klhl17,458,263,282,292,602,339,411,406,556,475
Clybl,483,289,131,60,259,146,241,163,355,151
Il22ra1,0,1174,163,178,522,109,357,131,271,154
Nfe2l1,8711,6678,7723,3793,8150,3209,5530,4395,9751,4347
Saraf,4645,2305,2624,1266,3204,1438,2305,1594,4074,1560
Pgr15l,0,0,0,0,0,0,0,0,0,1
Cldn2,0,0,115,0,309,91,259,125,273,219
Slco1a1,0,0,0,0,0,0,0,2,0,0
Cyp2c40,0,0,0,0,0,0,0,0,0,0
Tmem45a2,0,0,0,0,0,0,4,22,4,4
5730420D15Rik,0,0,0,0,0,8,5,2,1,5
Olfml2b,4050,621,1729,1709,5606,539,1478,666,1892,623
Degs1,2533,3922,2248,1068,2223,912,1403,1005,2827,1196
Mtif3,288,515,503,265,670,380,566,281,695,306
Poglut1,731,734,1028,698,1349,603,1063,615,1407,776
Olah,0,0,0,0,0,1,4,0,3,1
Gckr,0,0,0,0,0,9,12,4,5,11
Sh3glb2,1068,1015,997,638,1411,777,1123,850,1041,741
Npr2,725,112,472,521,645,626,653,790,1414,1137
Rnf17,138,0,0,0,136,13,30,55,48,37
Clip1,3264,11419,2801,1666,3262,1517,2444,2630,4076,2422
Homer1,858,965,659,476,666,632,755,637,880,873
Atp2b2,0,292,2280,927,1562,1071,3009,517,1158,1324
Fgd6,444,2295,1703,1175,1787,1813,1972,1094,1700,1031
Lpcat2,995,1183,279,209,692,108,226,283,503,646
Vstm2b,0,0,0,0,0,4,11,11,23,39
Pard6b,0,560,728,408,941,783,821,555,812,262
Fam57a,70,9320,677,237,531,252,542,383,524,226
Moxd1,223,4669,3120,1446,3875,440,2376,316,1353,790
Oas1h,0,0,0,0,0,0,0,0,75,8
Hgf,2081,254,363,303,503,79,163,283,335,347
Stx5a,1709,1826,1519,866,2054,1079,1520,892,1866,1229
Ccdc42b,0,0,0,0,0,0,0,0,6,8
Gm10653,0,0,0,0,0,0,2,5,0,2
Stt3b,7744,5086,7527,3396,8385,3897,5974,4321,7746,3938
S100a6,14990,9279,3483,2164,5792,1083,3065,5426,4278,2228
Mir6936,0,0,0,0,0,0,0,0,0,0
Tbcc,256,186,260,190,336,281,393,297,405,235
Csnk1g2,2147,3017,3374,1837,4036,1889,3259,1936,3548,1976
Maf,2122,5277,2229,1319,2114,1086,1227,1821,4189,1525
Gm3435,0,0,0,0,0,6,10,8,14,10
Evi2b,0,0,0,0,0,0,0,0,0,0
Foxj1,0,0,0,0,0,21,47,19,258,273
Rpl6,9272,16103,12075,6168,13340,6517,11832,5806,14474,6686
Pdzd3,0,0,0,0,0,5,2,6,0,5
Rpl39,2783,4588,3535,1954,4195,1651,2872,1600,4933,1985
Tomm22,1203,1768,1543,752,1636,1013,1500,859,1484,801
Ppp1r3b,1690,2017,448,230,1073,348,562,616,786,956
Fam227a,0,0,0,5,23,43,37,48,55,87
Ssbp1,510,600,559,310,793,348,608,265,673,426
4930444P10Rik,0,0,0,0,0,2,1,2,8,7
Ilf3,2395,1853,2168,1444,3145,1515,2408,1679,3198,2060
Pi4k2b,1947,931,1099,737,1529,781,1392,694,1077,655
AY512931,0,0,0,0,0,2,6,0,2,0
Mmachc,191,163,277,106,301,126,236,152,411,211
Smarce1,1655,1077,1599,977,2062,818,1338,692,1999,937
Anxa11,920,830,1203,715,1307,853,1151,833,971,941
Nckap5,58,305,0,16,29,108,52,288,363,209
Psen1,1712,3643,2675,1145,3072,1440,2105,1682,2723,1353
Retnlb,0,0,0,0,583,0,0,1,2,1
Exosc3,412,367,477,216,655,270,510,284,693,302
Zdhhc3,1654,2021,1840,1005,2141,995,1772,1215,1882,1278
Arhgef3,1649,1862,1187,760,1571,706,1118,988,2021,1131
Irgc1,0,0,0,0,0,0,0,2,1,0
Phf11a,0,0,0,0,10,7,22,4,51,14
Olfr235,0,0,0,0,0,0,0,0,0,0
Ccdc40,0,0,0,0,0,19,23,6,117,123
Cntn1,1526,0,102,25,48,25,74,117,61,334
Doc2g,0,69,0,0,61,74,64,70,44,65
Vwde,0,0,0,0,0,0,0,0,6,1
Pigv,93,245,264,111,279,172,306,220,293,187
4933417O13Rik,0,0,0,0,0,0,0,2,0,0
Atrip,255,311,247,176,302,158,281,257,373,298
Ercc6l,286,510,395,168,451,40,331,179,439,276
Meg3,947,1095,965,890,3847,39,149,971,872,1135
Slc43a2,895,1115,1192,670,1531,476,947,1433,2081,1199
Cdx1,0,0,0,0,110,1,0,1,0,0
Bloc1s6,803,578,786,434,1110,625,984,525,1043,517
Brsk2,0,0,0,0,0,0,1,3,8,3
Sall3,0,0,0,0,0,0,0,8,1,2
Olfr1258,0,0,0,0,0,0,2,0,0,0
Mpp2,656,23,77,66,155,49,73,195,203,126
AU022754,0,0,0,0,0,52,31,41,13,54
Hint3,108,130,194,90,265,160,272,176,351,118
Mir3113,0,8,0,0,16,78,59,53,47,46
Fez2,907,465,868,466,953,369,705,526,1270,581
Stk36,300,0,40,51,162,101,116,101,199,114
Mmp28,243,146,245,59,189,129,186,217,171,140
Ccdc150,0,0,0,0,0,4,1,2,5,11
Asb14,0,0,0,0,0,0,8,0,3,21
Sf1,3064,4525,3952,2403,4498,2538,3608,2714,3735,2723
H2-Ke6,217,262,233,112,379,185,279,256,530,304
Tlr1,131,64,287,56,386,162,194,110,295,344
Hltf,1294,1298,1683,1116,2075,1054,1567,956,2325,1114
Ilk,2302,1061,2415,1633,2878,1611,2442,1557,2854,2267
Mon1a,221,665,339,145,495,216,396,295,398,211
Sec61a1,12808,8524,10350,4478,11608,5430,8916,4399,9283,4271
Arhgef40,4658,665,1910,1541,2333,920,1495,1537,1772,1686
Slit1,228,466,89,45,39,2,43,33,87,32
Letmd1,662,807,421,247,603,354,478,393,774,466
Nol4,0,0,0,0,0,10,7,9,0,11
Isyna1,3433,886,4012,1506,3478,1277,3029,1389,4783,1684
Ahcy,214,301,426,171,411,154,392,242,436,247
Hist2h3b,401,413,596,310,1075,76,490,198,758,329
Lcn2,7431,1316,51512,22081,68442,59581,97958,12330,24469,20977
Tmub1,39,49,113,42,196,78,128,93,197,89
Hyi,137,58,158,51,190,112,117,117,317,151
Akr7a5,410,243,618,254,722,355,649,475,882,368
Hymai,34,0,0,0,0,46,33,57,65,61
4931430N09Rik,0,0,0,0,0,0,0,0,1,2
Dstyk,1128,1365,1231,688,1474,714,1011,1094,1852,984
Slc25a51,3797,2913,2577,1596,3052,1808,2482,1941,3936,1822
Nr3c2,27,0,60,5,274,74,98,186,261,160
Mturn,326,117,331,150,251,188,220,433,1473,540
9130230L23Rik,0,0,0,0,0,53,37,25,22,17
Gm38402,0,0,0,0,0,7,16,0,4,24
Rnf187,1810,1989,2263,1200,2715,1154,2060,1331,2665,1464
Phf10,1521,1689,881,573,1268,536,877,548,1374,676
B3gnt8,11,284,153,24,75,32,88,68,164,97
Speer4d,0,0,0,0,0,0,1,0,1,0
Prss32,0,0,26,0,769,75,143,10,39,35
2010012O05Rik,161,115,200,134,252,160,301,148,314,179
Grsf1,3213,2632,2306,1209,2661,1398,2314,1293,2861,1295
Plek2,36,931,385,227,423,227,454,232,326,185
Tex30,170,155,250,87,202,158,243,92,387,137
Hist2h2ab,16,45,45,0,58,24,64,67,167,53
Eng,2740,792,3888,1384,1960,1164,1878,1521,2645,1937
Hnf1a,0,0,0,0,53,11,7,17,12,4
Bcas3os2,0,0,0,0,0,0,0,2,0,2
Snrnp40,761,1011,1220,555,1333,504,1047,482,1091,637
Gata4,0,0,0,0,15,0,2,28,1571,283
Itch,3349,3369,4761,2687,6011,3711,4760,2816,5054,3078
Sele,15,0,17,0,0,14,55,252,81,200
Neu4,0,0,0,0,0,0,0,0,0,0
Gm16291,0,0,0,0,0,0,0,0,0,0
Kif19a,0,0,205,81,315,264,244,72,274,131
A730036I17Rik,0,0,0,0,0,0,0,0,2,2
Zfp703,682,798,1870,957,1894,1248,2071,1216,1452,1027
Rbfox1,0,29,0,0,0,0,21,3,46,66
Mynn,721,633,732,462,819,561,708,475,1015,602
2610001J05Rik,235,585,279,130,412,166,266,177,491,204
Dlat,1533,1294,1216,815,1880,867,1348,936,1754,985
Wfdc21,464,90,8,0,25,3,9,43,100,471
Fam163b,0,0,0,0,0,0,0,1,0,0
Gpatch11,626,566,649,328,789,307,539,345,770,387
Fn1,307556,15710,118178,68917,170540,20920,58444,59902,80975,41898
Naprt,120,321,349,208,445,237,371,219,523,260
Rrp7a,1368,1206,1495,722,1877,960,1461,964,1774,885
Gpatch2,695,799,1046,682,1473,916,1179,638,1079,818
Higd1a,673,2227,499,230,609,244,430,261,598,309
Glipr2,763,262,766,497,993,517,867,556,686,736
Taf5,211,276,154,130,286,158,285,161,343,175
Hdac1,993,1067,1358,700,1885,650,1331,593,1122,588
Rbbp9,502,196,875,621,1410,773,1175,339,1027,566
G6b,0,10,0,0,0,11,12,8,4,16
Gm1968,0,0,0,0,0,2,2,1,4,0
Lrrc1,251,2155,1056,557,1699,902,1261,739,1376,642
Ppm1f,1805,574,1320,695,1229,615,875,786,1726,907
Vwa9,817,609,1042,532,1240,556,1019,564,1050,658
Alkbh6,168,270,266,176,432,217,493,182,439,218
Lbx1,0,0,0,0,0,0,0,0,0,2
Pitx1,0,11101,113,0,7,1,6,434,355,8
Hdhd2,798,468,469,192,622,324,480,325,857,387
Fbxo31,534,290,549,330,730,390,689,438,725,639
Snapc1,233,636,438,260,603,278,346,243,484,390
Fam122b,72,143,181,101,175,106,190,150,363,199
Arhgef5,1841,5279,4936,2880,6107,3249,4956,1994,3634,2090
Skap2,1131,1352,1673,835,2412,818,1385,620,1883,1013
Hoxaas2,0,0,0,0,0,0,2,2,5,7
Intu,198,187,350,284,502,289,410,212,534,296
Ly9,269,11,230,92,296,56,106,68,586,172
Redrum,0,0,0,0,0,0,0,0,0,0
4931428F04Rik,39,190,68,75,94,113,175,102,141,133
